date,n,prop
2023-12-18,9,0.6
2023-12-25,8,0.381
2024-01-01,5,0.238
2024-01-08,8,0.381
2024-01-15,2,0.095
2024-01-22,7,0.333
2024-01-29,3,0.143
2024-02-05,4,0.167
2024-02-12,3,0.143
2024-02-19,2,0.095
2024-02-26,3,0.158
2024-03-04,6,0.286
2024-03-11,6,0.286
2024-03-18,3,0.143
2024-03-25,1,0.045
2024-04-01,4,0.19
2024-04-08,3,0.15
2024-04-15,3,0.143
2024-04-22,5,0.238
2024-04-29,8,0.381
2024-05-06,4,0.19
2024-05-13,9,0.409
2024-05-20,6,0.286
2024-05-27,5,0.238
2024-06-03,1,0.045
2024-06-10,3,0.136
2024-06-17,11,0.524
2024-06-24,3,0.143
2024-07-01,7,0.304
2024-07-08,4,0.182
2024-07-15,6,0.286
2024-07-22,9,0.429
2024-07-29,10,0.476
2024-08-05,5,0.227
2024-08-12,7,0.333
2024-08-19,6,0.261
2024-08-26,5,0.227
2024-09-02,5,0.238
2024-09-09,6,0.286
2024-09-16,5,0.208
2024-09-23,2,0.087
2024-09-30,7,0.318
2024-10-07,12,0.462
2024-10-14,14,0.56
2024-10-21,8,0.364
2024-10-28,9,0.391
2024-11-04,12,0.522
2024-11-11,7,0.333
2024-11-18,6,0.261
2024-11-25,5,0.238
2024-12-02,11,0.5
2024-12-09,6,0.333
