date,running_total
2023-12-25,2
2023-12-30,3
2023-12-31,4
2024-01-04,5
2024-01-06,6
2024-01-07,7
2024-01-09,8
2024-01-11,9
2024-01-12,10
2024-01-15,11
2024-01-19,12
2024-01-21,13
2024-01-23,14
2024-01-24,15
2024-01-25,16
2024-01-28,17
2024-01-29,18
2024-01-30,19
2024-01-31,20
2024-02-02,21
2024-02-04,22
2024-02-05,23
2024-02-09,24
2024-02-10,25
2024-02-11,26
2024-02-17,27
2024-02-25,28
2024-02-26,29
2024-02-27,30
2024-02-28,31
2024-03-01,32
2024-03-05,33
2024-03-08,34
2024-03-11,35
2024-03-15,36
2024-03-18,37
2024-03-19,38
2024-03-21,39
2024-03-25,40
2024-03-26,41
2024-03-29,42
2024-03-31,43
2024-04-01,44
2024-04-02,47
2024-04-03,48
2024-04-04,49
2024-04-05,50
2024-04-06,51
2024-04-09,52
2024-04-10,54
2024-04-11,56
2024-04-12,57
2024-04-15,58
2024-04-17,59
2024-04-23,60
2024-04-25,61
2024-04-26,62
2024-04-28,63
2024-04-29,64
2024-05-04,65
2024-05-05,66
2024-05-08,67
2024-05-12,68
2024-05-14,69
2024-05-15,70
2024-05-21,71
2024-05-23,72
2024-05-24,73
2024-05-27,75
2024-05-28,76
2024-05-29,77
2024-05-30,78
2024-06-03,80
2024-06-05,82
2024-06-11,83
2024-06-15,84
2024-06-16,85
2024-06-17,86
2024-06-19,87
2024-06-22,88
2024-06-26,89
2024-06-27,90
2024-06-29,92
2024-07-01,93
2024-07-02,94
2024-07-03,95
2024-07-04,96
2024-07-07,97
2024-07-11,98
2024-07-12,99
2024-07-13,100
2024-07-14,102
2024-07-18,103
2024-07-19,104
2024-07-20,105
2024-07-21,107
2024-07-22,108
2024-07-24,109
2024-07-25,110
2024-07-26,111
2024-07-28,112
2024-08-02,113
2024-08-04,114
2024-08-06,115
2024-08-08,116
2024-08-10,117
2024-08-12,118
2024-08-13,120
2024-08-14,121
2024-08-16,122
2024-08-25,123
2024-08-27,125
2024-08-29,126
2024-08-30,127
2024-08-31,128
2024-09-01,129
2024-09-06,130
2024-09-09,131
2024-09-10,133
2024-09-11,134
2024-09-12,135
2024-09-13,136
2024-09-14,137
2024-09-15,138
2024-09-16,139
2024-09-17,141
2024-09-18,142
2024-09-21,143
2024-09-23,144
2024-09-25,145
2024-09-29,146
2024-09-30,147
2024-10-01,148
2024-10-02,149
2024-10-04,150
2024-10-05,151
2024-10-08,152
2024-10-10,153
2024-10-13,154
2024-10-14,156
2024-10-16,157
2024-10-19,158
2024-10-20,160
2024-10-22,161
2024-10-26,162
2024-10-27,163
2024-10-28,165
2024-10-29,166
2024-10-30,167
2024-11-01,168
2024-11-02,169
2024-11-04,170
2024-11-06,171
2024-11-07,173
2024-11-08,174
2024-11-12,175
2024-11-13,176
2024-11-14,177
2024-11-15,179
2024-11-17,180
2024-11-18,181
2024-11-23,182
2024-11-26,183
2024-11-27,184
2024-11-29,186
2024-12-01,188
2024-12-02,189
2024-12-03,190
2024-12-05,192
2024-12-13,193
2024-12-14,194
