date,running_total
2023-12-26,1
2024-01-01,2
2024-01-10,3
2024-01-18,4
2024-01-19,5
2024-02-04,7
2024-02-10,8
2024-02-16,9
2024-02-17,10
2024-03-07,11
2024-03-11,12
2024-03-21,13
2024-03-26,14
2024-04-01,15
2024-04-04,16
2024-04-13,17
2024-04-14,18
2024-04-17,19
2024-04-18,20
2024-04-21,21
2024-05-02,22
2024-05-06,23
2024-05-08,24
2024-05-13,25
2024-05-16,26
2024-05-17,27
2024-05-18,28
2024-05-19,29
2024-05-21,30
2024-05-28,31
2024-06-03,32
2024-06-04,33
2024-06-05,34
2024-06-06,37
2024-06-07,39
2024-06-08,42
2024-06-09,43
2024-06-10,45
2024-06-11,46
2024-06-12,47
2024-06-16,50
2024-06-17,51
2024-06-21,52
2024-06-22,53
2024-06-23,55
2024-06-24,56
2024-06-27,57
2024-06-30,59
2024-07-01,60
2024-07-16,61
2024-07-18,62
2024-07-28,63
2024-07-29,64
2024-08-01,65
2024-08-02,66
2024-08-03,67
2024-08-14,68
2024-08-16,69
2024-08-23,70
2024-08-26,71
2024-08-28,72
2024-08-31,73
2024-09-02,74
2024-09-04,75
2024-09-14,76
2024-09-15,77
2024-09-16,79
2024-09-17,80
2024-09-18,81
2024-09-19,82
2024-09-20,85
2024-09-21,87
2024-09-22,91
2024-09-23,92
2024-09-24,93
2024-09-25,95
2024-09-27,96
2024-09-30,97
2024-10-05,99
2024-10-07,100
2024-10-11,101
2024-10-13,102
2024-10-26,103
2024-11-20,104
2024-11-25,105
