date,running_total
2023-12-20,1
2023-12-27,2
2023-12-28,3
2024-01-02,4
2024-01-05,5
2024-01-07,6
2024-01-09,7
2024-01-10,9
2024-01-12,10
2024-01-14,13
2024-01-17,14
2024-01-26,15
2024-01-27,17
2024-01-28,18
2024-02-01,20
2024-02-03,21
2024-02-05,22
2024-02-08,23
2024-02-09,24
2024-02-12,25
2024-02-13,26
2024-03-01,27
2024-03-03,28
2024-03-07,29
2024-03-08,31
2024-03-09,32
2024-03-12,33
2024-03-15,34
2024-03-17,35
2024-03-21,36
2024-03-23,37
2024-03-29,38
2024-03-30,39
2024-04-02,40
2024-04-07,41
2024-04-08,42
2024-04-11,43
2024-04-22,44
2024-04-24,45
2024-04-25,46
2024-04-26,47
2024-04-28,48
2024-05-02,51
2024-05-04,53
2024-05-07,55
2024-05-14,56
2024-05-15,57
2024-05-16,59
2024-05-17,61
2024-05-18,63
2024-05-19,66
2024-05-20,67
2024-05-21,68
2024-05-22,69
2024-05-24,71
2024-05-26,72
2024-05-27,73
2024-05-31,74
2024-06-01,75
2024-06-04,76
2024-06-09,77
2024-06-17,78
2024-06-18,79
2024-06-19,81
2024-06-20,83
2024-06-22,85
2024-06-25,86
2024-06-27,89
2024-06-28,91
2024-06-29,92
2024-06-30,93
2024-07-05,95
2024-07-07,97
2024-07-12,98
2024-07-14,99
2024-07-18,100
2024-07-25,101
2024-07-26,102
2024-07-27,103
2024-07-28,104
2024-07-30,105
2024-07-31,107
2024-08-01,109
2024-08-03,111
2024-08-04,112
2024-08-08,113
2024-08-14,115
2024-08-17,116
2024-08-18,117
2024-08-22,118
2024-08-23,119
2024-08-24,120
2024-08-26,122
2024-08-28,123
2024-08-29,124
2024-08-30,125
2024-09-05,126
2024-09-08,128
2024-09-11,129
2024-09-12,130
2024-09-13,131
2024-09-17,132
2024-09-18,133
2024-09-20,134
2024-09-25,135
2024-09-29,136
2024-10-04,137
2024-10-06,138
2024-10-09,139
2024-10-11,140
2024-10-12,141
2024-10-13,143
2024-10-14,145
2024-10-16,146
2024-10-17,147
2024-10-19,148
2024-10-21,149
2024-10-24,152
2024-10-25,153
2024-10-27,154
2024-10-28,155
2024-11-01,156
2024-11-02,157
2024-11-03,159
2024-11-05,160
2024-11-06,161
2024-11-07,164
2024-11-08,165
2024-11-09,166
2024-11-10,167
2024-11-24,168
2024-11-25,169
2024-11-29,170
2024-11-30,171
2024-12-04,172
2024-12-05,173
2024-12-06,174
2024-12-07,175
2024-12-08,176
2024-12-12,177
2024-12-13,178
