date,running_total
2023-12-21,1
2023-12-22,2
2023-12-31,3
2024-01-07,4
2024-01-12,5
2024-01-16,6
2024-01-18,7
2024-01-19,8
2024-01-20,9
2024-01-21,10
2024-01-22,11
2024-01-24,12
2024-02-05,13
2024-02-11,14
2024-02-14,15
2024-02-15,16
2024-02-16,17
2024-02-17,18
2024-02-19,19
2024-02-20,20
2024-02-21,21
2024-02-24,22
2024-02-27,23
2024-03-01,24
2024-03-02,25
2024-03-04,26
2024-03-05,27
2024-03-06,28
2024-03-10,29
2024-03-14,30
2024-03-22,31
2024-03-24,32
2024-03-31,33
2024-04-05,34
2024-04-06,35
2024-04-08,36
2024-04-10,37
2024-04-13,38
2024-04-18,39
2024-04-19,40
2024-04-21,41
2024-04-22,42
2024-04-25,43
2024-04-26,44
2024-04-27,45
2024-04-29,46
2024-04-30,47
2024-05-01,48
2024-05-09,49
2024-05-11,50
2024-05-12,52
2024-05-20,53
2024-05-26,54
2024-05-28,56
2024-06-03,57
2024-06-04,58
2024-06-07,59
2024-06-11,60
2024-06-13,61
2024-06-14,62
2024-06-15,63
2024-06-24,64
2024-06-25,65
2024-06-30,66
2024-07-01,67
2024-07-02,68
2024-07-11,69
2024-07-15,70
2024-07-26,71
2024-08-02,72
2024-08-04,73
2024-08-05,74
2024-08-06,75
2024-08-19,76
2024-08-20,77
2024-08-23,78
2024-08-25,79
2024-08-27,80
2024-08-30,81
2024-08-31,82
2024-09-01,83
2024-09-02,85
2024-09-09,86
2024-09-10,87
2024-09-14,88
2024-09-15,89
2024-09-19,90
2024-09-21,91
2024-09-24,92
2024-09-26,94
2024-09-30,97
2024-10-03,98
2024-10-07,99
2024-10-11,100
2024-10-22,101
2024-10-26,102
2024-10-28,103
2024-10-29,104
2024-10-31,105
2024-11-11,106
2024-11-12,107
2024-11-14,108
2024-11-15,109
2024-11-16,110
2024-11-19,111
2024-11-21,112
2024-11-25,113
2024-11-26,115
2024-11-28,116
2024-11-29,117
2024-12-09,118
2024-12-14,119
